,date,prod_index_ind,growth_prod_ind,log_prod_ind,CPI_ind,inflation_ind,log_inflation_ind,uncertainty_index,growth_uncertainty,log_uncertainty,er_ind,log_er_ind,BI_rate,dummy
1,2015-01,97.81173376,5.122741221,4.583044547,98.57860573,6.955581584,4.590854258,142.6298753,26.5639608,4.960252991,77.32,4.347952654,7.75,0
2,2015-02,94.90902602,2.632933105,4.552918812,98.22152713,6.290438533,4.587225409,118.0480593,23.0259965,4.771091824,76.7,4.339901708,7.5,0
3,2015-03,99.50101449,7.414383562,4.60016784,98.3876102,6.384124989,4.588914884,106.3848371,-4.510502139,4.667063059,75.97,4.330338526,7.5,0
4,2015-04,100.8096122,8.409381663,4.613233711,98.7446888,6.789402784,4.592537618,100.2930156,-4.457994961,4.608096057,76.07,4.331653969,7.5,0
5,2015-05,97.5738069,2.388482024,4.580609085,99.23463386,7.146059356,4.597487085,103.0142896,-2.784875032,4.634867712,74.69,4.313346214,7.5,0
6,2015-06,100.1354861,5.024122442,4.60652413,99.76609968,7.258280511,4.602828443,115.7817475,30.55272375,4.751706932,74.36,4.308918163,7.5,0
7,2015-07,96.92347347,4.40837249,4.573921734,100.6961649,7.26227333,4.612107714,128.8591363,32.93377165,4.858719841,74.59,4.31200645,7.5,0
8,2015-08,100.7303033,5.727128944,4.612446681,101.0864601,7.175559077,4.615976191,130.4227818,23.51056428,4.870781341,73.59,4.298509147,7.5,0
9,2015-09,103.3474988,2.01189917,4.638097085,101.0366352,6.831152867,4.615483175,178.1155337,39.15890503,5.182432405,70.8,4.259859001,7.5,0
10,2015-10,104.7433364,6.191203666,4.651512942,100.9535936,6.248907534,4.614660942,125.7231843,3.202657765,4.83408254,73.55,4.297965447,7.5,0
11,2015-11,102.9192304,6.604781073,4.63394451,101.1611975,4.890649216,4.616715259,100.6610242,-15.53531006,4.611758676,75.06,4.318287794,7.5,0
12,2015-12,100.5954781,1.52072995,4.611107307,102.1327834,3.352941176,4.626273765,117.1537945,3.122109695,4.763487555,74.25,4.307437778,7.5,0
13,2016-01,100.3258276,2.570339739,4.608423166,102.6559451,4.136130065,4.631383058,147.6510348,3.520412152,4.994851617,74.91,4.316287393,7.25,0
14,2016-02,101.9120067,7.378624551,4.624109762,102.5645994,4.421711194,4.630492838,155.0401879,31.33649872,5.04368436,76.11,4.332179662,7,0
15,2016-03,102.0468319,2.558584409,4.625431845,102.7638991,4.448008103,4.632434115,169.505876,59.33274002,5.132887593,76.94,4.343025897,6.75,0
16,2016-04,100.9444375,0.133742428,4.614570241,102.2988665,3.599360861,4.627898593,147.7515075,47.3198374,4.995531859,75.83,4.328493993,6.75,0
17,2016-05,104.4419624,7.038933593,4.648631533,102.5396869,3.330543933,4.630249913,130.212454,26.40232202,4.869167378,74.96,4.316954638,6.75,0
18,2016-06,108.0981052,7.951845398,4.683039196,103.2123234,3.454303313,4.636788258,235.4125136,103.3243742,5.461339352,75.32,4.321745704,6.5,0
