"","date","prod_index_us","growth_prod_us","log_prod_us","CPI_us","inflation_us","log_inflation_us","credit_us","growth_credit_us","log_credit_us","uncertainty_index","growth_uncertainty","log_uncertainty","er_us","log_er_us","FFR","dummy"
"1","2015-01",102.798,2.81568429769921,4.63276589757889,98.6034757000553,-0.0893483130696593,4.59110651149497,10622.3281,7.71730166211222,9.27071348922682,142.629875336488,26.5639607959135,4.96025299050065,110.17,4.70202462735197,0.11,0
"2","2015-02",102.1554,1.39644758979041,4.62649518330253,99.0317150246607,-0.0251298018152935,4.59544015261672,10706.3336,7.70212700847872,9.278590770565,118.048059288344,23.0259964964458,4.77109182365343,111.71,4.71590622758276,0.11,0
"3","2015-03",101.8077,0.0674273705979278,4.62308573976285,99.621124223157,-0.0736373908663879,4.60137423269647,10798.0294,7.81400383676225,9.28711893350096,106.384837122239,-4.51050213929145,4.66706305850265,113.7,4.73356340075649,0.11,0
"4","2015-04",101.2285,-0.563641489435907,4.6173803377591,99.8236413421822,-0.199517446176722,4.60340504246029,10859.9467,7.9673430389956,9.29283668555691,100.2930155915,-4.45799496054866,4.60809605736378,112.93,4.72676815773558,0.12,0
"5","2015-05",100.7536,-1.42645257485452,4.61267793219834,100.332465603733,-0.0399327448503684,4.60848932757559,10926.8328,8.00743195813167,9.29897676790705,103.014289552971,-2.78487503238596,4.63486771213102,112,4.71849887129509,0.12,0
"6","2015-06",100.4529,-2.05803807779945,4.60968896092883,100.683917187375,0.123771203685874,4.61198607681433,10983.6271,7.85928155620066,9.3041609974906,115.781747532703,30.5527237515175,4.75170693209977,112.8,4.72561633906396,0.13,0
"7","2015-07",101.11,-1.68461482363809,4.61620903310331,100.690667758009,0.169569779643353,4.61205312172606,11009.5754,7.3972813178258,9.30652066403212,128.859136307732,32.9337716534779,4.85871984112503,114.62,4.74162230912359,0.13,0
"8","2015-08",100.8802,-1.72401531808604,4.61393367420823,100.548061953362,0.195079293005684,4.61063584157604,11076.0475,7.50242689861469,9.31254017283348,130.422781765891,23.5105642810312,4.87078134102674,116.64,4.75909226826035,0.14,0
"9","2015-09",100.608,-2.28884268103533,4.61123177736669,100.391533096782,-0.0361297478062683,4.60907787199615,11116.2639,7.32770421449553,9.31616453113475,178.115533688034,39.1589050322126,5.18243240540318,117.42,4.76575725063604,0.14,0
"10","2015-10",100.151,-2.73806841577774,4.60667904708444,100.346388655666,0.170574435736026,4.60862808710765,11177.0806,7.61628574576201,9.32162058559697,125.723184339105,3.20265776523869,4.83408254042744,116.45,4.75746199633035,0.12,0
"11","2015-11",99.3817,-4.07329223362165,4.59896799208542,100.134589502019,0.501797578668084,4.60651517610343,11260.8924,7.81268377745592,9.3290911525497,100.661024232981,-15.5353100568375,4.61175867647011,118.31,4.77330829826557,0.12,0
"12","2015-12",98.8572,-4.57062321414781,4.59367638459687,99.7924199529991,0.729519786041544,4.60309222805813,11342.0989,7.61289302415324,9.33627664833846,117.153794500288,3.12210969473821,4.76348755452988,119.46,4.78298158730416,0.24,0
"13","2016-01",99.4086,-3.29714585886884,4.59923862903465,99.9573870228718,1.37308681383099,4.60474396539772,11404.1039,7.35974065798251,9.34172856082936,147.651034799668,3.52041215161518,4.99485161662909,121.96,4.80369312212005,0.34,0
"14","2016-02",98.8946,-3.19199963976452,4.59405463653133,100.039659602476,1.01779978016567,4.60556670338944,11474.9709,7.17927657326127,9.34792349897782,155.040187880852,31.3364987239227,5.04368435996352,120.96,4.79545991243122,0.38,0
"15","2016-03",98.1385,-3.60404959546282,4.5863797462572,100.470430391069,0.852536221142719,4.60986345924199,11560.8168,7.06413523934284,9.3553767971697,169.505875953626,59.3327400208915,5.13288759261271,118.65,4.77617798288177,0.36,0
"16","2016-04",98.4364,-2.75821532473561,4.58941065435434,100.946767531443,1.12511041889454,4.61459332375527,11633.098,7.11929184698483,9.36160959009143,147.751507497647,47.319837404679,4.99553185926391,116.65,4.75917799846744,0.37,0
"17","2016-05",98.2096,-2.52497181242161,4.58710397025639,101.35517705481,1.01932255419321,4.61863095254863,11712.6841,7.19194037635498,9.36842764467288,130.212454008149,26.402322020764,4.86916737810439,117.85,4.76941262938214,0.37,0
"18","2016-06",98.6766,-1.76829140821221,4.59184783626417,101.688064569208,0.99732649452271,4.62190993696589,11779.6351,7.24722346045414,9.3741274804949,235.412513603801,103.324374195775,5.46133935230794,118.38,4.77389978926258,0.38,0
"19","2016-07",98.8371,-2.24794777964592,4.59347304034194,101.52351941,0.827138870498523,4.62029048996442,11860.9525,7.73306025952645,9.3810069812999,226.520547722758,75.7892798394974,5.42283565923119,119.08,4.77979553614758,0.39,0
"20","2016-08",98.7302,-2.13124081831718,4.59239087734804,101.616761666885,1.06287450276139,4.62120849857344,11905.3298,7.48716814369024,9.3847414611832,146.434505693759,12.2767845548715,4.9865782683851,117.99,4.77059987511183,0.4,0
"21","2016-09",98.6287,-1.96733858142495,4.59136229430518,101.861047941709,1.46378364748183,4.62360960946273,11987.3545,7.8361813630567,9.39160758147465,153.964442616968,-13.5592278623859,5.03672168365634,118.91,4.77836690444949,0.4,0
"22","2016-10",98.7126,-1.43623129075097,4.59221259786611,101.988043051764,1.63598752091743,4.62485558143018,12060.4378,7.9032909541692,9.39768577144649,131.268367130561,4.41062865262676,4.87724383172341,120.04,4.78782502057217,0.4,0
"23","2016-11",98.3004,-1.08802727262665,4.58802809632083,101.829404641861,1.6925371625035,4.62329890957767,12079.6686,7.27097081577655,9.39927903733766,240.834406139737,139.252886581327,5.48410958586802,123.12,4.81315948953062,0.41,0
"24","2016-12",98.9063,0.0496676013482134,4.59417293730765,101.862735584367,2.07462213296661,4.62362617741202,12074.0831,6.4536926229765,9.39881654189025,231.035287788262,97.2068329273742,5.44257045984317,125.2,4.829912458666,0.54,0
"25","2017-01",98.7349,-0.67770796490445,4.59243848069669,102.45636388951,2.50004220905293,4.62943698978364,12109.6865,6.18709375315318,9.40176094851593,274.593023456417,85.9743305077295,5.61529008680726,125.18,4.82975270149656,0.65,0
"26","2017-02",98.4178,-0.482129459040226,4.58922168200775,102.778703637292,2.73795817148923,4.63257816849847,12151.2485,5.8935016558517,9.40518720069118,207.165375218547,33.620436127021,5.33351738840263,123.3,4.8146204101703,0.66,0
"27","2017-03",99.0726,0.951818093816392,4.59585291471042,102.86224194889,2.38061243344052,4.63339063622911,12166.8234,5.24190124697763,9.40646813301128,244.955523436261,44.5115233074731,5.50107665707004,122.76,4.81023122975154,0.79,0
"28","2017-04",100.0545,1.64380249582472,4.60571503752953,103.167283359421,2.19968987841672,4.63635178107442,12196.3716,4.84199135948138,9.40889377665021,180.558322239615,22.2040473884784,5.19605384048347,121.8,4.8023803552758,0.9,0
"29","2017-05",100.139,1.96457372802659,4.60655922083237,103.25546268833,1.87487772084141,4.63720613783462,12240.6543,4.50767898709059,9.41251801051996,166.346325570319,27.7499351635821,5.11407191367421,121.24,4.7977720521896,0.91,0
"30","2017-06",100.3148,1.66017069903099,4.60831324141039,103.34912685588,1.63348795525704,4.63811283767293,12248.0642,3.97660110880684,9.41312317899589,170.868889692091,-27.4172442762905,5.14089653547039,119.57,4.78390197393149,1.04,0
"31","2017-07",100.1418,1.32005087158567,4.60658718157548,103.277823953556,1.72797845637254,4.63742267692793,12293.3442,3.64550570453763,9.41681327294997,148.13167048018,-34.6056364557793,4.99810154365304,117.99,4.77059987511183,1.15,0
"32","2017-08",99.6878,0.969915993282711,4.60204330237902,103.587084470734,1.93897421205766,4.64041265478286,12326.6977,3.53932152303753,9.41952273384691,140.350759214571,-4.15458532151668,4.94414471223089,116.55,4.75832036548177,1.16,0
"33","2017-09",99.7829,1.17024760541302,4.60299682595121,104.135568334761,2.23296386500325,4.64569359194893,12377.3328,3.25324741167869,9.42362207876219,159.898284240358,3.8540337772353,5.0745378895782,115.43,4.74866428562682,1.15,0
"34","2017-10",101.0401,2.35785502559958,4.61551746774879,104.069750271078,2.04112870197679,4.64506135002239,12441.8676,3.16265301745513,9.42882248364236,153.235823284247,16.7347675863428,5.0319780634198,117.55,4.76686377498608,1.15,0
"35","2017-11",101.226,2.97618320983435,4.61735564085189,104.072281735065,2.2025829386829,4.64508567441245,12481.4235,3.32587683738277,9.43199669791879,160.131159769877,-33.5098492210597,5.07599322798521,117.8,4.76898827121749,1.16,0
"36","2017-12",101.3878,2.50894027984061,4.61895276833673,104.011104688693,2.10908247456856,4.64449766929405,12535.1139,3.81835039714113,9.43628909710875,154.354606469447,-33.1900299962362,5.03925259481412,117.39,4.76550172489043,1.3,0
"37","2018-01",101.345,2.64354346841897,4.61853053768993,104.577730711299,2.07050762027501,4.64993062945493,12555.2268,3.67920589851769,9.43789233594465,146.09092178397,-46.7972929737753,4.98422917982381,114.8,4.74319148388547,1.41,0
"38","2018-02",101.7068,3.34187514860116,4.62209416414276,105.05195829835,2.21179542123859,4.65445506870079,12562.4582,3.38409423525492,9.43846813743271,126.467581198783,-38.9533211979237,4.83998600021506,113.76,4.73409096605493,1.42,0
"39","2018-03",102.2785,3.23590982774249,4.62769948469167,105.28949400254,2.35971140397275,4.65671364210672,12575.1536,3.35609539627246,9.43947820960507,162.243268875608,-33.7662337229048,5.08909686859486,114.07,4.73681229503981,1.51,0
"40","2018-04",103.434,3.37765917574921,4.6389337281409,105.708029381859,2.46274394333559,4.66068085386865,12635.7025,3.60214426395469,9.44428161780183,160.129729703775,-11.3141240361828,5.07598429735304,114,4.7361984483945,1.69,0
"41","2018-05",102.4735,2.33125954922657,4.62960422856675,106.147660294409,2.80101171480769,4.6648311464029,12665.0865,3.46739798051481,9.44660439225848,175.102318631079,5.26371293789618,5.16537048095787,117.21,4.76396719773509,1.7,0
"42","2018-06",103.2508,2.92678647617299,4.63716097999514,106.316846470928,2.87154783531598,4.66642375323267,12743.4767,4.04482285453729,9.45277478828603,176.40216274202,3.23831509638763,5.17276640393982,119.16,4.78046712784508,1.82,0
"43","2018-07",103.4588,3.31230315412745,4.63917346582262,106.324018952227,2.94951508664714,4.66649121421941,12785.4106,4.00270578936528,9.45606000297024,226.941122473979,53.2022974819169,5.42469061147725,119.76,4.78548974011137,1.91,0
